Number,Date,Flight number,From,To,Distance,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number
582,04/08/2017,3406,Portland / Portland (PDX/KPDX),Seattle / Seattle-Tacoma (SEA/KSEA),129,15:40:00,16:11:00,00:31:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-700 (CRJ7),N217AG,8A
581,04/08/2017,2098,Medford / Rogue Valley (MFR/KMFR),Portland / Portland (PDX/KPDX),223,14:04:00,14:48:00,00:44:00,Horizon Air (QX/QXE),Bombardier Dash 8-400 (DH8D),N448QX,20A
580,04/07/2017,2093,Portland / Portland (PDX/KPDX),Medford / Rogue Valley (MFR/KMFR),223,16:03:00,16:50:00,00:47:00,Horizon Air (QX/QXE),Bombardier Dash 8-400 (DH8D),N416QX,20A
579,04/07/2017,700,Seattle / Seattle-Tacoma (SEA/KSEA),Portland / Portland (PDX/KPDX),129,12:58:00,13:36:00,00:38:00,Alaska Airlines (AS/ASA),Boeing 737-900 (B739),N448AS,18A
578,04/07/2017,27,Chicago / O'Hare (ORD/KORD),Seattle / Seattle-Tacoma (SEA/KSEA),1718,06:06:00,08:03:00,03:57:00,Alaska Airlines (AS/ASA),Boeing 737-900 (B739),N263AK,7D
577,04/01/2017,2189,Minneapolis / St Paul (MSP/KMSP),Chicago / Chicago Midway (MDW/KMDW),349,16:56:00,17:55:00,00:59:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N447WN,11F
576,03/31/2017,1487,Chicago / Chicago Midway (MDW/KMDW),Minneapolis / St Paul (MSP/KMSP),349,14:10:00,15:04:00,00:54:00,Southwest Airlines (WN/SWA),Boeing 737-700 (B737),N490WN,14A
575,03/19/2017,5330,Chicago / O'Hare (ORD/KORD),Milwaukee / Gen Mitchell (MKE/KMKE),67,07:57:00,08:14:00,00:17:00,SkyWest Airlines (OO/SKW),Bombardier CRJ-200 (CRJ2),N934SW,2A
574,03/18/2017,660,Los Angeles / Los Angeles International (LAX/KLAX),Chicago / O'Hare (ORD/KORD),1743,23:42:00,05:09:00,03:27:00,United Airlines (UA/UAL),Airbus A320-200 (A320),N497UA,8D
573,03/18/2017,5191,Seattle / Seattle-Tacoma (SEA/KSEA),Los Angeles / Los Angeles International (LAX/KLAX),956,18:48:00,21:14:00,02:26:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N157SY,4D
572,03/17/2017,3423,Milwaukee / Gen Mitchell (MKE/KMKE),Seattle / Seattle-Tacoma (SEA/KSEA),1692,16:17:00,18:36:00,04:19:00,SkyWest Airlines (OO/SKW),Embraer ERJ-175 (E175),N176SY,12A
571,03/08/2017,163,Denver / Denver (DEN/KDEN),Chicago / O'Hare (ORD/KORD),887,18:05:00,20:54:00,01:49:00,United Airlines (UA/UAL),Boeing 757-300 (B753),N75861,15F
570,03/08/2017,407,Chicago / O'Hare (ORD/KORD),Denver / Denver (DEN/KDEN),887,14:57:00,16:16:00,02:19:00,United Airlines (UA/UAL),Boeing 737-900 (B739),N67815,25A
569,03/05/2017,4595,Cincinnati / Northern Kentucky Int (CVG/KCVG),Chicago / O'Hare (ORD/KORD),265,20:39:00,20:24:00,00:45:00,GoJet Airlines (G7/GJS),Bombardier CRJ-700 (CRJ7),N172GJ,8A
568,03/05/2017,6264,Washington / Dulles (IAD/KIAD),Cincinnati / Northern Kentucky Int (CVG/KCVG),388,17:16:00,18:24:00,01:08:00,Mesa Airlines (YV/ASH),Embraer ERJ-175 (E175),N86322,9A
567,03/04/2017,363,Boston / Logan (BOS/KBOS),Washington / Dulles (IAD/KIAD),413,20:17:00,21:20:00,01:03:00,United Airlines (UA/UAL),Boeing 757-200 (B752),N41140,4A
566,03/04/2017,456,Washington / Dulles (IAD/KIAD),Boston / Logan (BOS/KBOS),413,14:31:00,15:36:00,01:05:00,JetBlue Airways (B6/JBU),Embraer ERJ-190 (E190),N355JB,11A
565,03/04/2017,5351,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),Washington / Dulles (IAD/KIAD),383,09:07:00,10:02:00,00:55:00,ExpressJet Airlines (XE/ASQ),Bombardier CRJ-900 (CRJ9),N695CA,16C
564,03/04/2017,994,Chicago / O'Hare (ORD/KORD),Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),234,05:44:00,07:32:00,00:48:00,Delta Air Lines (DL/DAL),Boeing 717-200 (B712),N951AT,18E
563,03/01/2017,482,Philadelphia / Philadelphia (PHL/KPHL),Chicago / O'Hare (ORD/KORD),677,16:34:00,17:31:00,01:57:00,American Airlines (AA/AAL),Airbus A320-200 (A320),N123UW,2F
